0,1,2
0,250,0.0
15,250,0.0
25,250,0.0
35,250,0.0
45,250,0.0
55,250,0.0
65,250,0.0
70,250,0.0
75,250,0.0
0,252,0.0
15,252,0.0
25,252,0.0
35,252,0.0
45,252,0.0
55,252,0.0
65,252,0.0
70,252,0.0
75,252,0.0
0,254,0.0
15,254,0.0
25,254,0.0
35,254,0.0
45,254,0.0
55,254,0.0
65,254,0.0
70,254,0.0
75,254,0.0
0,256,0.0
15,256,0.0
25,256,0.0
35,256,0.0
45,256,0.0
55,256,0.0
65,256,0.0
70,256,0.0
75,256,0.0
0,258,0.0
15,258,0.0
25,258,0.0
35,258,0.0
45,258,0.0
55,258,0.0
65,258,0.0
70,258,0.0
75,258,0.0
0,260,0.0
15,260,0.0
25,260,0.0
35,260,0.0
45,260,0.0
55,260,0.0
65,260,0.0
70,260,0.0
75,260,0.0
0,262,0.0
15,262,0.0
25,262,0.0
35,262,0.0
45,262,0.0
55,262,0.0
65,262,0.0
70,262,0.0
75,262,0.0
0,264,0.0
15,264,0.0
25,264,0.0
35,264,0.0
45,264,0.0
55,264,0.0
65,264,0.0
70,264,0.0
75,264,0.0
0,266,0.0
15,266,0.0
25,266,0.0
35,266,0.0
45,266,0.0
55,266,0.0
65,266,0.0
70,266,0.0
75,266,0.0
0,268,0.0
15,268,0.0
25,268,0.0
35,268,0.0
45,268,0.0
55,268,0.0
65,268,0.0
70,268,0.0
75,268,0.0
0,270,0.0
15,270,0.0
25,270,0.0
35,270,0.0
45,270,0.0
55,270,0.0
65,270,0.0
70,270,0.0
75,270,0.0
0,272,0.0
15,272,0.0
25,272,0.0
35,272,0.0
45,272,0.0
55,272,0.0
65,272,0.0
70,272,0.0
75,272,0.0
0,274,0.0
15,274,0.0
25,274,0.0
35,274,0.0
45,274,0.0
55,274,0.0
65,274,0.0
70,274,0.0
75,274,0.0
0,276,0.0
15,276,0.0
25,276,0.0
35,276,0.0
45,276,0.0
55,276,0.0
65,276,0.0
70,276,0.0
75,276,0.0
0,278,0.0
15,278,0.0
25,278,0.0
35,278,0.0
45,278,0.0
55,278,0.0
65,278,0.0
70,278,0.0
75,278,0.0
0,280,0.0
15,280,0.0
25,280,0.0
35,280,0.0
45,280,0.0
55,280,0.0
65,280,0.0
70,280,0.0
75,280,0.0
0,282,0.0
15,282,0.0
25,282,0.0
35,282,0.0
45,282,0.0
55,282,0.0
65,282,0.0
70,282,0.0
75,282,0.0
0,284,0.0
15,284,0.0
25,284,0.0
35,284,0.0
45,284,0.0
55,284,0.0
65,284,0.0
70,284,0.0
75,284,0.0
0,286,0.0
15,286,0.0
25,286,0.0
35,286,0.0
45,286,0.0
55,286,0.0
65,286,0.0
70,286,0.0
75,286,0.0
0,288,0.0
15,288,0.0
25,288,0.0
35,288,0.0
45,288,0.0
55,288,0.0
65,288,0.0
70,288,0.0
75,288,0.0
0,290,0.0
15,290,0.0
25,290,0.0
35,290,0.0
45,290,0.0
55,290,0.0
65,290,0.0
70,290,0.0
75,290,0.0
0,292,0.0
15,292,0.0
25,292,0.0
35,292,0.0
45,292,0.0
55,292,0.0
65,292,0.0
70,292,0.0
75,292,0.0
0,294,0.0
15,294,0.0
25,294,0.0
35,294,0.0
45,294,0.0
55,294,0.0
65,294,0.0
70,294,0.0
75,294,0.0
0,296,0.0
15,296,0.0
25,296,0.0
35,296,0.0
45,296,0.0
55,296,0.0
65,296,0.0
70,296,0.0
75,296,0.0
0,298,0.0
15,298,0.0
25,298,0.0
35,298,0.0
45,298,0.0
55,298,0.0
65,298,0.0
70,298,0.0
75,298,0.0
0,300,0.0
15,300,0.0
25,300,0.0
35,300,0.0
45,300,0.0
55,300,0.0
65,300,0.0
70,300,0.0
75,300,0.0
0,302,0.0
15,302,0.0
25,302,0.0
35,302,0.0
45,302,0.0
55,302,0.0
65,302,0.0
70,302,0.0
75,302,0.0
0,304,0.0
15,304,0.0
25,304,0.0
35,304,0.0
45,304,0.0
55,304,0.0
65,304,0.0
70,304,0.0
75,304,0.0
0,306,0.0
15,306,0.0
25,306,0.0
35,306,0.0
45,306,0.0
55,306,0.0
65,306,0.0
70,306,0.0
75,306,0.0
0,308,0.0
15,308,0.0
25,308,0.0
35,308,0.0
45,308,0.0
55,308,0.0
65,308,0.0
70,308,0.0
75,308,0.0
0,310,0.0
15,310,0.0
25,310,0.0
35,310,0.0
45,310,0.0
55,310,0.0
65,310,0.0
70,310,0.0
75,310,0.0
0,312,0.0
15,312,0.0
25,312,0.0
35,312,0.0
45,312,0.0
55,312,0.0
65,312,0.0
70,312,0.0
75,312,0.0
0,314,0.0
15,314,0.0
25,314,0.0
35,314,0.0
45,314,0.0
55,314,0.0
65,314,0.0
70,314,0.0
75,314,0.0
0,316,0.0
15,316,0.0
25,316,0.0
35,316,0.0
45,316,0.0
55,316,0.0
65,316,0.0
70,316,0.0
75,316,0.0
0,318,0.0
15,318,0.0
25,318,0.0
35,318,0.0
45,318,0.0
55,318,0.0
65,318,0.0
70,318,0.0
75,318,0.0
0,320,0.0002
15,320,0.0002
25,320,0.0002
35,320,0.0002
45,320,0.0002
55,320,0.0002
65,320,0.0002
70,320,0.0002
75,320,0.0001
0,322,0.0002
15,322,0.0002
25,322,0.0002
35,322,0.0002
45,322,0.0002
55,322,0.0002
65,322,0.0002
70,322,0.0002
75,322,0.0002
0,324,0.0002
15,324,0.0002
25,324,0.0002
35,324,0.0002
45,324,0.0002
55,324,0.0002
65,324,0.0002
70,324,0.0002
75,324,0.0002
0,326,0.0001
15,326,0.0001
25,326,0.0002
35,326,0.0002
45,326,0.0002
55,326,0.0001
65,326,0.0002
70,326,0.0002
75,326,0.0002
0,328,0.0001
15,328,0.0001
25,328,0.0001
35,328,0.0001
45,328,0.0001
55,328,0.0001
65,328,0.0001
70,328,0.0001
75,328,0.0001
0,330,0.0001
15,330,0.0001
25,330,0.0001
35,330,0.0001
45,330,0.0001
55,330,0.0001
65,330,0.0001
70,330,0.0001
75,330,0.0001
0,332,0.0001
15,332,0.0001
25,332,0.0001
35,332,0.0001
45,332,0.0001
55,332,0.0001
65,332,0.0001
70,332,0.0001
75,332,0.0001
0,334,0.0001
15,334,0.0001
25,334,0.0001
35,334,0.0001
45,334,0.0001
55,334,0.0001
65,334,0.0001
70,334,0.0001
75,334,0.0001
0,336,0.0001
15,336,0.0001
25,336,0.0001
35,336,0.0002
45,336,0.0002
55,336,0.0002
65,336,0.0002
70,336,0.0001
75,336,0.0001
0,338,0.0001
15,338,0.0002
25,338,0.0002
35,338,0.0002
45,338,0.0003
55,338,0.0003
65,338,0.0002
70,338,0.0002
75,338,0.0002
0,340,0.0002
15,340,0.0003
25,340,0.0003
35,340,0.0004
45,340,0.0006
55,340,0.0005
65,340,0.0003
70,340,0.0003
75,340,0.0002
0,342,0.0005
15,342,0.0005
25,342,0.0007
35,342,0.0011
45,342,0.0013
55,342,0.001
65,342,0.0006
70,342,0.0005
75,342,0.0004
0,344,0.001
15,344,0.0013
25,344,0.0018
35,344,0.0026
45,344,0.0028
55,344,0.0017
65,344,0.0011
70,344,0.001
75,344,0.0008
0,346,0.0024
15,346,0.0032
25,346,0.0045
35,346,0.006
45,346,0.0052
55,346,0.003
65,346,0.0022
70,346,0.0019
75,346,0.0016
0,348,0.006
15,348,0.0079
25,348,0.0103
35,348,0.0123
45,348,0.0084
55,348,0.0053
65,348,0.0043
70,348,0.0037
75,348,0.0034
0,350,0.0141
15,350,0.0175
25,350,0.0211
35,350,0.0222
45,350,0.0127
55,350,0.0097
65,350,0.0077
70,350,0.0077
75,350,0.0076
0,352,0.0297
15,352,0.0345
25,352,0.0385
35,352,0.0348
45,352,0.0199
55,352,0.0166
65,352,0.0146
70,352,0.0166
75,352,0.0163
0,354,0.055
15,354,0.0603
25,354,0.0634
35,354,0.0477
45,354,0.033
55,354,0.0264
